danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.8109999999999999,0.51,9,-9.117,0,0.363,0.313,0.0,0.10400000000000001,0.54,166.014,audio_features,1gGIoobAAp1x1fnJLRv4mB,spotify:track:1gGIoobAAp1x1fnJLRv4mB,https://api.spotify.com/v1/tracks/1gGIoobAAp1x1fnJLRv4mB,https://api.spotify.com/v1/audio-analysis/1gGIoobAAp1x1fnJLRv4mB,129759,4,Dark Trap,In My Bag,,
0.7509999999999999,0.809,8,-8.254,1,0.0696,0.239,0.0,0.10099999999999999,0.34,146.005,audio_features,7hJWaMGHvccedkoCspJjTm,spotify:track:7hJWaMGHvccedkoCspJjTm,https://api.spotify.com/v1/tracks/7hJWaMGHvccedkoCspJjTm,https://api.spotify.com/v1/audio-analysis/7hJWaMGHvccedkoCspJjTm,172000,4,Dark Trap,Stuck In My Ways,,
0.736,0.489,11,-9.48,0,0.179,0.445,0.0,0.0781,0.507,145.083,audio_features,5u2w3tRAMQ5qSanvQU9h8a,spotify:track:5u2w3tRAMQ5qSanvQU9h8a,https://api.spotify.com/v1/tracks/5u2w3tRAMQ5qSanvQU9h8a,https://api.spotify.com/v1/audio-analysis/5u2w3tRAMQ5qSanvQU9h8a,226759,4,Dark Trap,Swervin thru the Mud,,
0.49200000000000005,0.6409999999999999,4,-8.145,1,0.22399999999999998,0.28600000000000003,0.0,0.0673,0.23,205.782,audio_features,5PcA8FaM5vlZBPIe58C9Q3,spotify:track:5PcA8FaM5vlZBPIe58C9Q3,https://api.spotify.com/v1/tracks/5PcA8FaM5vlZBPIe58C9Q3,https://api.spotify.com/v1/audio-analysis/5PcA8FaM5vlZBPIe58C9Q3,350676,4,Dark Trap,BAD BLOOD,,
0.6709999999999999,0.645,0,-7.252999999999999,1,0.0373,0.000997,5.2000000000000004e-05,0.153,0.33299999999999996,149.974,audio_features,0x007Jr9qpBvrJrzU3l0H9,spotify:track:0x007Jr9qpBvrJrzU3l0H9,https://api.spotify.com/v1/tracks/0x007Jr9qpBvrJrzU3l0H9,https://api.spotify.com/v1/audio-analysis/0x007Jr9qpBvrJrzU3l0H9,156682,4,Dark Trap,Winter of '12,,
0.877,0.774,1,-8.747,1,0.218,0.0026100000000000003,0.0113,0.136,0.455,183.018,audio_features,7IEgywoWmLvnJnyNPAhOM8,spotify:track:7IEgywoWmLvnJnyNPAhOM8,https://api.spotify.com/v1/tracks/7IEgywoWmLvnJnyNPAhOM8,https://api.spotify.com/v1/audio-analysis/7IEgywoWmLvnJnyNPAhOM8,116557,4,Dark Trap,Fly (On the Wall),,
0.7070000000000001,0.609,11,-10.620999999999999,0,0.111,0.3,0.0,0.0643,0.303,120.09899999999999,audio_features,2NewVZgMr1DLTMJlIsAVDv,spotify:track:2NewVZgMr1DLTMJlIsAVDv,https://api.spotify.com/v1/tracks/2NewVZgMr1DLTMJlIsAVDv,https://api.spotify.com/v1/audio-analysis/2NewVZgMr1DLTMJlIsAVDv,178040,4,Dark Trap,High Street,,
0.6990000000000001,0.489,1,-9.461,0,0.0388,0.365,4.2e-05,0.132,0.0739,134.017,audio_features,1RqpijoxxQJ9FWS1V56DeE,spotify:track:1RqpijoxxQJ9FWS1V56DeE,https://api.spotify.com/v1/tracks/1RqpijoxxQJ9FWS1V56DeE,https://api.spotify.com/v1/audio-analysis/1RqpijoxxQJ9FWS1V56DeE,214925,4,Dark Trap,MARY JANE,,
0.7240000000000001,0.843,3,-6.74,0,0.0617,0.517,0.0,0.12,0.8109999999999999,152.043,audio_features,2aQwdBWk4vSPWk1Csgtzdo,spotify:track:2aQwdBWk4vSPWk1Csgtzdo,https://api.spotify.com/v1/tracks/2aQwdBWk4vSPWk1Csgtzdo,https://api.spotify.com/v1/audio-analysis/2aQwdBWk4vSPWk1Csgtzdo,207214,4,Dark Trap,This Life,,
0.659,0.614,9,-7.32,0,0.0541,0.000404,0.0,0.12300000000000001,0.26,119.405,audio_features,0AICBlLzFCTpUqmAbtzB2z,spotify:track:0AICBlLzFCTpUqmAbtzB2z,https://api.spotify.com/v1/tracks/0AICBlLzFCTpUqmAbtzB2z,https://api.spotify.com/v1/audio-analysis/0AICBlLzFCTpUqmAbtzB2z,143969,4,Dark Trap,Love Scars,,
0.8059999999999999,0.8690000000000001,1,-3.7880000000000003,1,0.11900000000000001,0.00443,0.0,0.321,0.396,159.99,audio_features,39gJMxsMvte4oBHx44FnRu,spotify:track:39gJMxsMvte4oBHx44FnRu,https://api.spotify.com/v1/tracks/39gJMxsMvte4oBHx44FnRu,https://api.spotify.com/v1/audio-analysis/39gJMxsMvte4oBHx44FnRu,144192,4,Dark Trap,Just Another Product,,
0.8190000000000001,0.541,6,-7.11,1,0.293,0.23800000000000002,7.01e-06,0.105,0.584,160.037,audio_features,5t2S5DonfzpmHjVt0c9rVm,spotify:track:5t2S5DonfzpmHjVt0c9rVm,https://api.spotify.com/v1/tracks/5t2S5DonfzpmHjVt0c9rVm,https://api.spotify.com/v1/audio-analysis/5t2S5DonfzpmHjVt0c9rVm,79500,4,Dark Trap,Killing Joke,,
0.76,0.711,1,-7.2589999999999995,1,0.0391,0.0361,4.28e-05,0.0913,0.377,141.936,audio_features,5ACfPiWQz7lwwqj50XT6BM,spotify:track:5ACfPiWQz7lwwqj50XT6BM,https://api.spotify.com/v1/tracks/5ACfPiWQz7lwwqj50XT6BM,https://api.spotify.com/v1/audio-analysis/5ACfPiWQz7lwwqj50XT6BM,137104,4,Dark Trap,Fuck a Milli,,
0.711,0.794,2,-11.33,1,0.212,0.00122,0.0033399999999999997,0.0887,0.774,140.07,audio_features,0Hc08jaUOVBw3lj7Woh3he,spotify:track:0Hc08jaUOVBw3lj7Woh3he,https://api.spotify.com/v1/tracks/0Hc08jaUOVBw3lj7Woh3he,https://api.spotify.com/v1/audio-analysis/0Hc08jaUOVBw3lj7Woh3he,119197,4,Dark Trap,I Rather Suffer,,
0.79,0.94,5,-2.436,1,0.565,0.0917,0.0,0.34299999999999997,0.544,130.02700000000002,audio_features,5ItgOZJ7FNIJuP5sF7UyV2,spotify:track:5ItgOZJ7FNIJuP5sF7UyV2,https://api.spotify.com/v1/tracks/5ItgOZJ7FNIJuP5sF7UyV2,https://api.spotify.com/v1/audio-analysis/5ItgOZJ7FNIJuP5sF7UyV2,136620,4,Dark Trap,Devil/skin,,
0.6709999999999999,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,audio_features,4VXIryQMWpIdGgYR4TrjT1,spotify:track:4VXIryQMWpIdGgYR4TrjT1,https://api.spotify.com/v1/tracks/4VXIryQMWpIdGgYR4TrjT1,https://api.spotify.com/v1/audio-analysis/4VXIryQMWpIdGgYR4TrjT1,165820,4,Dark Trap,All Girls Are The Same,,
0.6409999999999999,0.703,8,-8.292,0,0.0326,0.0026100000000000003,0.0,0.111,0.442,149.944,audio_features,3QTVsXdmkaVpCCFNS9hBav,spotify:track:3QTVsXdmkaVpCCFNS9hBav,https://api.spotify.com/v1/tracks/3QTVsXdmkaVpCCFNS9hBav,https://api.spotify.com/v1/audio-analysis/3QTVsXdmkaVpCCFNS9hBav,118005,4,Dark Trap,Bad For You,,
0.762,0.7090000000000001,11,-5.332999999999999,1,0.337,0.141,0.0,0.0798,0.537,174.041,audio_features,310YHyec9UxRfn30XRje5J,spotify:track:310YHyec9UxRfn30XRje5J,https://api.spotify.com/v1/tracks/310YHyec9UxRfn30XRje5J,https://api.spotify.com/v1/audio-analysis/310YHyec9UxRfn30XRje5J,167520,4,Dark Trap,Death Note,,
0.652,0.912,1,-2.464,1,0.0879,0.0697,0.0,0.29600000000000004,0.27899999999999997,206.01,audio_features,5YaBgvHKQmrlUrJ5tBfyd1,spotify:track:5YaBgvHKQmrlUrJ5tBfyd1,https://api.spotify.com/v1/tracks/5YaBgvHKQmrlUrJ5tBfyd1,https://api.spotify.com/v1/audio-analysis/5YaBgvHKQmrlUrJ5tBfyd1,128960,4,Dark Trap,Give Up,,
0.884,0.612,1,-5.636,1,0.37,0.125,0.0,0.0795,0.287,213.53799999999998,audio_features,5BY5fKganceXe196jEJZWb,spotify:track:5BY5fKganceXe196jEJZWb,https://api.spotify.com/v1/tracks/5BY5fKganceXe196jEJZWb,https://api.spotify.com/v1/audio-analysis/5BY5fKganceXe196jEJZWb,144308,4,Dark Trap,Rotten,,
0.895,0.772,8,-6.642,1,0.207,0.0777,0.0,0.11800000000000001,0.6559999999999999,130.024,audio_features,3TNwTBnZn7Q6ZVhyV7uFmv,spotify:track:3TNwTBnZn7Q6ZVhyV7uFmv,https://api.spotify.com/v1/tracks/3TNwTBnZn7Q6ZVhyV7uFmv,https://api.spotify.com/v1/audio-analysis/3TNwTBnZn7Q6ZVhyV7uFmv,146135,4,Dark Trap,Born2Lose,,
0.703,0.775,1,-3.818,1,0.344,0.0183,0.0,0.364,0.569,168.05200000000002,audio_features,0qTTWAzCK5xjgUrjcxykqU,spotify:track:0qTTWAzCK5xjgUrjcxykqU,https://api.spotify.com/v1/tracks/0qTTWAzCK5xjgUrjcxykqU,https://api.spotify.com/v1/audio-analysis/0qTTWAzCK5xjgUrjcxykqU,159242,4,Dark Trap,Smack a Goober Vol.2,,
0.78,0.483,11,-9.205,0,0.287,0.597,0.0,0.0852,0.415,149.786,audio_features,2RAjEKXmiyPLQuPe2fIvlT,spotify:track:2RAjEKXmiyPLQuPe2fIvlT,https://api.spotify.com/v1/tracks/2RAjEKXmiyPLQuPe2fIvlT,https://api.spotify.com/v1/audio-analysis/2RAjEKXmiyPLQuPe2fIvlT,192093,4,Dark Trap,225,,
0.975,0.40700000000000003,1,-7.898,1,0.105,0.00586,0.0,0.124,0.14,119.969,audio_features,4OozkslPi3nwvgBzkU1KPR,spotify:track:4OozkslPi3nwvgBzkU1KPR,https://api.spotify.com/v1/tracks/4OozkslPi3nwvgBzkU1KPR,https://api.spotify.com/v1/audio-analysis/4OozkslPi3nwvgBzkU1KPR,176000,4,Dark Trap,Go to the Sto,,
0.7240000000000001,0.8909999999999999,1,-0.354,1,0.294,0.0261,0.0,0.273,0.71,184.956,audio_features,495T3rrTtGF4FRHHvldWjh,spotify:track:495T3rrTtGF4FRHHvldWjh,https://api.spotify.com/v1/tracks/495T3rrTtGF4FRHHvldWjh,https://api.spotify.com/v1/audio-analysis/495T3rrTtGF4FRHHvldWjh,310250,4,Dark Trap,METHHEAD FREESTYLE,,
